wavelength,Z_L_IRCF,Z_IRCF,Z_H_IRCF,Y_L_IRCF,Y_IRCF,Xl_IRCF,Xl_H_IRCF,685_055_IRCF
371,0.000664028,0.00093463,0.000620569,0.000269218,0.000938308,0.000438982,0.001884011,0.000873297
372,0.000954232,0.001038712,0.000514641,0.000290368,0.001274883,0.000467446,0.001395336,0.00105264
373,0.00112352,0.000923153,0.00068747,0.000394487,0.0010659,0.000515492,0.001026179,0.000996148
374,0.001439475,0.001258171,0.000698787,0.000470182,0.001056279,0.00049206,0.000784806,0.001278517
375,0.001906761,0.001460475,0.000973244,0.000294349,0.001004216,0.000611805,0.000682949,0.001631181
376,0.002233609,0.001722387,0.001201091,0.000244109,0.000979618,0.000607112,0.000590634,0.001461392
377,0.002942202,0.001826159,0.001042499,0.000248046,0.001014674,0.000695177,0.000622659,0.001486265
378,0.003682095,0.001691423,0.001208265,0.000278319,0.000929079,0.000789259,0.000557588,0.001335206
379,0.004745907,0.002066168,0.001474731,0.000401863,0.000925112,0.000813112,0.00069617,0.001368005
380,0.005768833,0.002169981,0.001509336,0.000313381,0.000846602,0.001005361,0.000830266,0.001535197
381,0.006866159,0.00243469,0.001649622,0.000329378,0.000824916,0.001220455,0.001120709,0.001230754
382,0.008517068,0.002594977,0.001925774,0.000362917,0.00085542,0.001209075,0.001411659,0.001400367
383,0.010678839,0.002783919,0.002132048,0.000332702,0.000893503,0.001299188,0.001841434,0.001372256
384,0.014009466,0.002880249,0.002267167,0.000349384,0.00091001,0.001477872,0.00240591,0.001027856
385,0.018123554,0.003112046,0.002080271,0.00039631,0.00092896,0.001710333,0.002758526,0.00132514
386,0.018616746,0.003491434,0.001073153,0.000398378,0.000959802,0.001818264,0.003409954,0.001003599
387,0.01613303,0.003853742,0.001161813,0.000487173,0.000975218,0.001488399,0.0037244,0.000741756
388,0.014784667,0.004458394,0.001152804,0.000464529,0.000991374,0.000612522,0.004126794,0.001111393
389,0.014286986,0.005124642,0.001279581,0.000520777,0.000985296,0.000732243,0.00455207,0.000853555
390,0.01439871,0.005863972,0.001396491,0.000563311,0.000913634,0.000862222,0.005031058,0.000672495
391,0.015488998,0.00675603,0.001506189,0.000587786,0.000892399,0.000987775,0.005485932,0.000730157
392,0.016780283,0.007867362,0.001477357,0.000678393,0.000975206,0.001108209,0.005937849,0.000720505
393,0.018375612,0.009164917,0.001556766,0.000720526,0.00106522,0.001221182,0.006349758,0.000805872
394,0.020212194,0.010702199,0.001653095,0.000827414,0.001170311,0.001334554,0.006906156,0.000933275
395,0.022399934,0.01257587,0.001697522,0.001002192,0.001280095,0.001446836,0.007439015,0.000905856
396,0.025164995,0.014874696,0.00165963,0.001043965,0.001397588,0.001563985,0.00809624,0.000931695
397,0.02858162,0.017456175,0.001723056,0.001147759,0.001523468,0.00170024,0.008844843,0.001081307
398,0.032646003,0.020394757,0.001871819,0.001210256,0.001659777,0.001829504,0.009500817,0.001277679
399,0.037572069,0.023468171,0.002023028,0.001221636,0.001809214,0.001945406,0.010172299,0.001498018
400,0.04340535,0.026429703,0.002160359,0.001191075,0.00198481,0.002072135,0.010950507,0.001749813
401,0.049722796,0.029413573,0.002231566,0.001394365,0.002180616,0.002208471,0.011453957,0.002026051
402,0.056973795,0.033667953,0.002192505,0.001623613,0.002385313,0.002353506,0.011748463,0.002347614
403,0.064977696,0.038018082,0.002326843,0.001887419,0.002572745,0.002516366,0.011644624,0.00270319
